"id","site","timestamp","year","place","dataset","Openly licenced?","Openly licenced? comments","Downloadable at once","Downloadable at once comments","timely","timely comments","Publicly available online (no access controls)","Publicly available online (no access controls) comments","free","free comments","findable","findable comments","findable_steps","findable_steps comments","Licence URL","Licence URL comments","collector_gov","collector_gov comments","usability","usability comments","collector_name","collector_name comments","collector_non_gov","collector_non_gov comments","online_otherwise","online_otherwise comments","Format 1","Format 2","Format 3","Format 4","Format 5","Format 6","Format 7","Format comment","Data element 1","Data element 2","Data element 3","Data element 4","Data element 5","Data element 6","Data element 7","Data element 8","Data element 9","Data element comment","URL 1","Description URL 1","URL 2","Description URL 2","URL 3","Description URL 3","URL 4","Description URL 4","URL 5","Description URL 5","URL 6","Description URL 6","URL 7","Description URL 7","URL 8","Description URL 8","URL 9","Description URL 9","URL comment","reviewed","reviewResult","reviewComments","details","isCurrent","isOpen","submitter","reviewer","score","relativeScore"
"2b674ba0-3cec-4b01-8721-6ac747f386db","ar-cities","2018-05-28T20:26:30","2018","caba","spending","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"    Portal de Datos Abiertos Buenos Aires - Presupuesto: https://data.buenosaires.gob.ar/dataset/presupuesto-ejecutado",,"     http://data.buenosaires.gob.ar/tyc",,"Yes",,"3",,"     Ministerio de Hacienda- SS Gestión y Administración Financiera- DG Oficina de Gestión Pública y Presupuesto",,,,,,"CSV","XLS",,,,,,,"La oficina gubernamental que realizó el gasto","Objeto del gasto","Monto del gasto",,,,,,,,"https://data.buenosaires.gob.ar/dataset/presupuesto-ejecutado","Presupuesto ejecutado",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"49104279-abc5-4070-9b8e-58755e0d3773","ar-cities","2018-05-30T20:07:03","2018","godoy-cruz","spending","No",,"No",,"Yes",,"Yes",,"Yes",,"3",,"Portal Godoy Cruz - Transparencia - Responsabilidad fiscal: https://www.godoycruz.gob.ar/sitio2/archivos-fiscal/2017/4/Anexo%204.pdf",,,,"Yes",,"1",,"Municipalidad de Godoy Cruz",,,,,,,,,,,,,,"Monto del gasto",,,,,,,,,,"https://www.godoycruz.gob.ar/sitio2/archivos-fiscal/2017/4/Anexo%204.pdf","Presupuesto ejecutado",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","45","50"
"78f14b18-a55b-4f3e-88ef-19a329c11552","ar-cities","2018-05-28T18:45:55","2018","bahia-blanca","public_works","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Portal Bahía Blanca - Áreas de Gobierno - Infraestructura",,"Atribución 2.5 Argentina (CC BY 2.5 AR)",,"Yes",,"3",,"Municipalidad de Bahía Blanca",,,,,,"CSV","XLS",,,,,,,"Costos previstos y costos reales","Localización de la obra","Responsables",,,,,,,,"http://www.bahia.gob.ar/obras/",,"http://datos.bahiablanca.gob.ar/home",,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","anonymous","Roque De Benedictis","90","100"
"8da5f2cd-9c42-4926-bb6d-8958d1c673bd","ar-cities","2018-05-31T15:27:49","2018","rio-segundo","procurement","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Datos abiertos Rio Segundo - Compras : http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php",,"CC-BY-SA-AR (CBA). ",,"Yes",,"2",,"    Municipalidad de Rio Segundo",,,,,,"CSV","XLS",,,,,,,"Título de la adjudicación","Monto de la adjudicación","Nombre del proveedor",,,,,,,,"http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php","Compras",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"180d5c2f-18f1-442d-98db-1c3b48ee45b4","ar-cities","2018-05-30T19:35:30","2018","rio-segundo","wages","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Datos Abiertos Rio Segundo - Nómina de sueldos - ver mes por mes",,"CC-BY-SA-AR",,"Yes",,"3",,"Municipalidad de Rio Segundo",,,,,,"CSV","XLS",,,,,,,"Nombre de la entidad o secretaría","Salario Bruto","Cargo",,,,,,,,"http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php","Sueldos de personal",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"d048d167-7e84-48e3-926e-94ec378a90d6","ar-cities","2018-05-29T19:35:17","2018","rio-segundo","transport","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Datos Abiertos Rio Segundo - Portal de mapas - transporte: http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/mapas.php#",,"CC-BY-SA-AR (CBA)",,"Yes",,"3",,"Municipalidad de Rio Segundo",,,,,,"CSV","KML","KMZ","XLS",,,,,"Tabla de horarios por estación","Recorridos del transporte","Paradas o estaciones","Línea de transporte",,,,,,,"http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/mapas.php# - ","Lineas de transporte urbano",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
"f9e2a76f-3407-45a7-a96b-0ec9863b2c84","ar-cities","2018-05-31T11:07:23","2018","caba","wages","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"3",,"Buenos Aires Data - Administración Pública y Normativa: https://data.buenosaires.gob.ar/dataset/sueldo-funcionarios",,"http://data.buenosaires.gob.ar/tyc",,"Yes",,"3",,"Gobierno de la Ciudad de Buenos Aires",,,,,,"CSV",,,,,,,,"Nombre de la entidad o secretaría","Categoría","Salario Bruto","Cargo",,,,,,,"https://data.buenosaires.gob.ar/dataset/sueldo-funcionarios","Sueldo Funcionarios",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Yas García","Yas García","90","100"
"e56b9fb4-c290-4a2f-9bee-2a9e22e176f3","ar-cities","2018-05-31T01:09:06","2018","villa-la-angostura","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Villa La Angostura",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"7ebd0623-e5db-4cb8-83f4-51393eeba6fe","ar-cities","2018-05-31T01:08:32","2018","vicente-lopez","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Vicente López",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"94b38bf6-7547-4a7b-a1c5-609a5cd4fabd","ar-cities","2018-05-31T01:08:08","2018","ushuaia","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipio de Ushuaia",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"49d3fe98-ce12-477b-a006-cde745db97ce","ar-cities","2018-05-31T01:07:47","2018","trenque-lauquen","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Trenque Lauquen",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"10bcb965-6f0d-4f57-8b12-be67801a74d8","ar-cities","2018-05-31T01:07:27","2018","tigre","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Tigre",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"b11cb262-cb57-43de-89c3-0b812acddf54","ar-cities","2018-05-31T01:06:59","2018","santa-rosa","enviroment","No",,"No",,"Yes",,"Yes",,"Yes",,"3",,"Municipalidad de Santa Rosa - Información Útil - Analisis de Agua: https://www.santarosa.gob.ar/analisis-de-agua/",,,,"Yes",,"1",,"    Municipalidad Santa Rosa",,,,,,,,,,,,,,"Agua: Materia fecal","Agua:  Arsénico","Agua: Flúor","Agua: Total sólidos disueltos",,,,,,," https://www.santarosa.gob.ar/analisis-de-agua/","Agua",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","45","50"
"47124ead-a25d-4a0d-aaea-9a8ff834b3ce","ar-cities","2018-05-31T01:05:31","2018","san-pedro","enviroment","No",,"No",,"Yes",,"Yes",,"Yes",,"3",,"Portal San Pedro - Gobierno Abierto - Calidad del Agua: http://www.sanpedro.gob.ar/2016/datos.php#",,,,"Yes",,"1",,"Municipalidad de San Pedro",,,,"No",,,,,,,,,,"Agua: Materia fecal","Agua:  Arsénico","Agua: Flúor","Agua: Total sólidos disueltos",,,,,,," http://www.sanpedro.gob.ar/2016/datos.php#","Agua",,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","45","50"
"05ba8d9e-fbe4-48ff-9fec-21bd22f8b10d","ar-cities","2018-05-31T01:03:32","2018","san-miguel","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de San Miguel",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"9d03ee18-b84b-40fa-a62b-b6131e17b219","ar-cities","2018-05-31T01:03:10","2018","san-luis","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de San Luis",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"d5a7be2e-8a1e-4503-852a-28141fab715e","ar-cities","2018-05-31T01:02:42","2018","san-juan","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de San Juan ",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"c4d56131-1d73-40a8-995d-16e30cadd683","ar-cities","2018-05-31T01:02:20","2018","san-isidro","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de San Isidro",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"4ddcf521-6411-41c6-adaa-f91a94dacf09","ar-cities","2018-05-31T01:01:50","2018","salta","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"    Municipalidad de Salta",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","Roque De Benedictis","0","0"
"76655978-2fc8-4e55-a41e-cfbd17e731d3","ar-cities","2018-05-31T01:01:29","2018","rosario","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"Municipalidad de Rosario",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"339818f3-7752-46e0-872c-6c88a46ab3df","ar-cities","2018-05-31T01:00:58","2018","rivadavia","enviroment",,,,,,,"No",,,,,,,,,,"Yes",,,,"  Municipalidad de Rivadavia ",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Roque De Benedictis","Roque De Benedictis","0","0"
"0de18c20-c029-4947-96dd-4e8c4cf8289f","ar-cities","2018-05-31T00:59:49","2018","rio-segundo","enviroment","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Agua: http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php - Suelo: http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php - Residuos Patógenos: http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php",,"CC-BY-SA-AR",,"Yes",,"3",,"Municipalidad de Rio Segundo",,,,,,"CSV","XLS",,,,,,,"Agua: Materia fecal","Agua:  Arsénico","Agua: Flúor","Agua: Total sólidos disueltos",,,,,,,"http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php","Agua","http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php","Suelo"," http://gobiernoabierto.riosegundo.gob.ar/munirio2/portal/panel/datosabiertos.php","Residuos patógenos",,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Roque De Benedictis","Roque De Benedictis","90","100"
